"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"antiquewhite4",53,51,1,7.7610912090634e-06,0.144697784501778,8,0.156862745098039,0.0253968253968254,315,"GO:0032956","BP","regulation of actin cytoskeleton organization","Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
"antiquewhite4",53,51,2,1.84736125550646e-05,0.344422032476624,8,0.156862745098039,0.0225352112676056,355,"GO:0032970","BP","regulation of actin filament-based process","Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton."
"antiquewhite4",53,51,3,2.23404362668251e-05,0.416515093758688,9,0.176470588235294,0.0187891440501044,479,"GO:0051493","BP","regulation of cytoskeleton organization","Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."
"antiquewhite4",53,51,4,4.51274244498515e-05,0.841355701443032,10,0.196078431372549,0.015220700152207,657,"GO:0030036","BP","actin cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
"antiquewhite4",53,51,5,4.81118429527552e-05,0.896997200011169,8,0.156862745098039,0.0197044334975369,406,"GO:0007015","BP","actin filament organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."
"antiquewhite4",53,51,6,6.30537154102384e-05,1,2,0.0392156862745098,0.5,4,"GO:0030035","BP","microspike assembly","Formation of a microspike, a dynamic, actin-rich projection extending from the surface of a migrating animal cell."
"antiquewhite4",53,51,7,0.000120472781348369,1,10,0.196078431372549,0.013531799729364,739,"GO:0030029","BP","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."
"antiquewhite4",53,51,8,0.000125242386573744,1,6,0.117647058823529,0.0251046025104603,239,"GO:0110053","BP","regulation of actin filament organization","Any process that modulates the frequency, rate or extent of actin filament organization."
"antiquewhite4",53,51,9,0.000182049274692034,1,13,0.254901960784314,0.0101721439749609,1278,"GO:0007010","BP","cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."
"antiquewhite4",53,51,10,0.000769092765829498,1,7,0.137254901960784,0.0150214592274678,466,"GO:0030031","BP","cell projection assembly","Formation of a prolongation or process extending from a cell, e.g. a flagellum or axon."
"bisque4",139,126,1,0.000144086243991947,1,6,0.0476190476190476,0.0612244897959184,98,"GO:0043149","BP","stress fiber assembly","The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity."
"bisque4",139,126,2,0.00027749804639018,1,15,0.119047619047619,0.0228310502283105,657,"GO:0030036","BP","actin cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
"bisque4",139,126,3,0.000311797144995944,1,16,0.126984126984127,0.0216508795669824,739,"GO:0030029","BP","actin filament-based process","Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."
"bisque4",139,126,4,0.000386943670922615,1,2,0.0158730158730159,0.5,4,"GO:0071664","CC","catenin-TCF7L2 complex","A protein complex that contains a catenin and TCF7L2 (TCF4), binds to the TCF DNA motif within a promoter element, and is involved in the regulation of WNT target gene transcription."
"bisque4",139,126,5,0.000451190316726745,1,18,0.142857142857143,0.0195227765726681,922,"GO:0008092","MF","cytoskeletal protein binding","Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."
"bisque4",139,126,6,0.000566072430685625,1,5,0.0396825396825397,0.0602409638554217,83,"GO:0051492","BP","regulation of stress fiber assembly","Any process that modulates the frequency, rate or extent of the assembly of a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts."
"bisque4",139,126,7,0.000615188721685072,1,30,0.238095238095238,0.014873574615766,2017,"GO:0097367","MF","carbohydrate derivative binding","Binding to a carbohydrate derivative."
"bisque4",139,126,8,0.000641480392190349,1,2,0.0158730158730159,0.4,5,"GO:1904717","BP","regulation of AMPA glutamate receptor clustering",NA
"bisque4",139,126,9,0.000657595346485243,1,4,0.0317460317460317,0.0816326530612245,49,"GO:0051496","BP","positive regulation of stress fiber assembly","Any process that activates or increases the frequency, rate or extent of the assembly of a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts."
"bisque4",139,126,10,0.000683864342300036,1,10,0.0793650793650794,0.0278551532033426,359,"GO:0005769","CC","early endosome","A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."
"black",57,55,1,1.18126819306719e-06,0.0220235641915447,4,0.0727272727272727,0.173913043478261,23,"GO:0003352","BP","regulation of cilium movement","Any process that modulates the rate, frequency, or extent of cilium movement, the directed, self-propelled movement of a cilium."
"black",57,55,2,7.59437043725048e-06,0.141589442432098,4,0.0727272727272727,0.111111111111111,36,"GO:0060632","BP","regulation of microtubule-based movement","Any process that modulates the rate, frequency, or extent of microtubule-based movement, the movement of organelles, other microtubules and other particles along microtubules, mediated by motor proteins."
"black",57,55,3,9.61606551541511e-06,0.179281925469399,5,0.0909090909090909,0.0617283950617284,81,"GO:0001578","BP","microtubule bundle formation","A process that results in a parallel arrangement of microtubules."
"black",57,55,4,1.98959298790185e-05,0.370939716664422,5,0.0909090909090909,0.0531914893617021,94,"GO:0005930","CC","axoneme","The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."
"black",57,55,5,1.98959298790185e-05,0.370939716664422,5,0.0909090909090909,0.0531914893617021,94,"GO:0097014","CC","ciliary plasm","All of the contents of a cilium, excluding the plasma membrane surrounding the cilium."
"black",57,55,6,3.09755924212155e-05,0.577508945101141,4,0.0727272727272727,0.0784313725490196,51,"GO:0035082","BP","axoneme assembly","The assembly and organization of an axoneme, the bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."
"black",57,55,7,4.93362134408517e-05,0.919824363391239,7,0.127272727272727,0.0254545454545455,275,"GO:0060271","BP","cilium assembly","The assembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole."
