"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"1","12","12_Control_ki67_1_features_d.csv 12_Control_ki67_1_features_h.csv",6646,231302,0.0287329984176531,211,347,0.60806916426513
"2","12","12_Control_ki67_10_features_d.csv 12_Control_ki67_10_features_h.csv",2735,382719,0.00714623522741228,155,570,0.271929824561404
"3","12","12_Control_ki67_2_features_d.csv 12_Control_ki67_2_features_h.csv",12802,249281,0.0513556989902961,247,371,0.665768194070081
"4","12","12_Control_ki67_3_features_d.csv 12_Control_ki67_3_features_h.csv",5362,394199,0.0136022668753599,8,548,0.0145985401459854
"5","12","12_Control_ki67_4_features_d.csv 12_Control_ki67_4_features_h.csv",26229,403320,0.0650327283546564,406,628,0.646496815286624
"6","12","12_Control_ki67_5_features_d.csv 12_Control_ki67_5_features_h.csv",2023566,302369,6.69237256464783,584,415,1.40722891566265
"7","12","12_Control_ki67_6_features_d.csv 12_Control_ki67_6_features_h.csv",3112604,247501,12.5761269651436,396,332,1.19277108433735
"8","12","12_Control_ki67_7_features_d.csv 12_Control_ki67_7_features_h.csv",297464,290916,1.02250821542988,721,427,1.68852459016393
"9","12","12_Control_ki67_8_features_d.csv 12_Control_ki67_8_features_h.csv",18268,435372,0.0419595196751284,629,625,1.0064
"10","12","12_Control_ki67_9_features_d.csv 12_Control_ki67_9_features_h.csv",6248,306725,0.0203700383079306,13,439,0.0296127562642369
"11","12","12_Reactive_ki67_1_features_d.csv 12_Reactive_ki67_1_features_h.csv",67434,317682,0.212268872646231,424,456,0.929824561403509
"12","12","12_Reactive_ki67_10_features_d.csv 12_Reactive_ki67_10_features_h.csv",469105,761572,0.615969337107982,1921,1066,1.80206378986867
"13","12","12_Reactive_ki67_2_features_d.csv 12_Reactive_ki67_2_features_h.csv",47078,331230,0.142130845635963,397,487,0.815195071868583
"14","12","12_Reactive_ki67_3_features_d.csv 12_Reactive_ki67_3_features_h.csv",72995,247497,0.294932867873146,381,365,1.04383561643836
"15","12","12_Reactive_ki67_4_features_d.csv 12_Reactive_ki67_4_features_h.csv",55455,298973,0.185484976904269,303,473,0.640591966173362
"16","12","12_Reactive_ki67_5_features_d.csv 12_Reactive_ki67_5_features_h.csv",65233,405124,0.161019835902094,423,606,0.698019801980198
"17","12","12_Reactive_ki67_6_features_d.csv 12_Reactive_ki67_6_features_h.csv",113381,468597,0.241958441902104,617,735,0.839455782312925
"18","12","12_Reactive_ki67_7_features_d.csv 12_Reactive_ki67_7_features_h.csv",89294,327943,0.272285122719497,394,479,0.822546972860125
"19","12","12_Reactive_ki67_8_features_d.csv 12_Reactive_ki67_8_features_h.csv",264075,679885,0.388411275436287,1235,981,1.25891946992864
"20","12","12_Reactive_ki67_9_features_d.csv 12_Reactive_ki67_9_features_h.csv",519069,668088,0.776947048891763,1252,966,1.29606625258799
"21","12","12_Recurrent_ki67_1_features_d.csv 12_Recurrent_ki67_1_features_h.csv",23458,444136,0.0528171551056433,31,308,0.100649350649351
"22","12","12_Recurrent_ki67_10_features_d.csv 12_Recurrent_ki67_10_features_h.csv",117194,943044,0.124272038208185,80,1076,0.0743494423791822
"23","12","12_Recurrent_ki67_2_features_d.csv 12_Recurrent_ki67_2_features_h.csv",88137,918813,0.0959248508673691,64,350,0.182857142857143
"24","12","12_Recurrent_ki67_3_features_d.csv 12_Recurrent_ki67_3_features_h.csv",140487,1100647,0.127640378795381,108,626,0.172523961661342
"25","12","12_Recurrent_ki67_4_features_d.csv 12_Recurrent_ki67_4_features_h.csv",70953,829585,0.0855283063218356,59,405,0.145679012345679
"26","12","12_Recurrent_ki67_5_features_d.csv 12_Recurrent_ki67_5_features_h.csv",118764,982451,0.120885418204063,122,580,0.210344827586207
"27","12","12_Recurrent_ki67_6_features_d.csv 12_Recurrent_ki67_6_features_h.csv",183237,1116920,0.164055617233105,206,798,0.258145363408521
