"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"1","12","12_Control_Olig2_1_features_d.csv 12_Control_Olig2_1_features_h.csv",32995,283005,0.116588046147595,51,375,0.136
"2","12","12_Control_Olig2_10_features_d.csv 12_Control_Olig2_10_features_h.csv",182146,512017,0.355742094500769,247,715,0.345454545454545
"3","12","12_Control_Olig2_2_features_d.csv 12_Control_Olig2_2_features_h.csv",179150,351748,0.509313485790964,225,439,0.5125284738041
"4","12","12_Control_Olig2_3_features_d.csv 12_Control_Olig2_3_features_h.csv",165574,345922,0.478645474991472,237,480,0.49375
"5","12","12_Control_Olig2_4_features_d.csv 12_Control_Olig2_4_features_h.csv",106696,261563,0.407917021902945,147,371,0.39622641509434
"6","12","12_Control_Olig2_5_features_d.csv 12_Control_Olig2_5_features_h.csv",102079,265552,0.384403054768934,163,379,0.430079155672823
"7","12","12_Control_Olig2_6_features_d.csv 12_Control_Olig2_6_features_h.csv",68523,429869,0.159404376682199,94,535,0.175700934579439
"8","12","12_Control_Olig2_7_features_d.csv 12_Control_Olig2_7_features_h.csv",153187,516111,0.296810182305744,181,720,0.251388888888889
"9","12","12_Control_Olig2_8_features_d.csv 12_Control_Olig2_8_features_h.csv",95145,473175,0.201077825328895,112,577,0.194107452339688
"10","12","12_Control_Olig2_9_features_d.csv 12_Control_Olig2_9_features_h.csv",237835,596320,0.398837872283338,317,840,0.377380952380952
"11","12","12_Reactive_Olig2_1_features_d.csv 12_Reactive_Olig2_1_features_h.csv",0,291279,0,0,488,0
"12","12","12_Reactive_Olig2_10_features_d.csv 12_Reactive_Olig2_10_features_h.csv",2409,361915,0.00665625906635536,3,593,0.00505902192242833
"13","12","12_Reactive_Olig2_2_features_d.csv 12_Reactive_Olig2_2_features_h.csv",0,200117,0,0,354,0
"14","12","12_Reactive_Olig2_3_features_d.csv 12_Reactive_Olig2_3_features_h.csv",0,250199,0,0,429,0
"15","12","12_Reactive_Olig2_4_features_d.csv 12_Reactive_Olig2_4_features_h.csv",1209,288192,0.0041951199200533,2,468,0.00427350427350427
"16","12","12_Reactive_Olig2_5_features_d.csv 12_Reactive_Olig2_5_features_h.csv",1062,502551,0.00211321835992765,1,798,0.0012531328320802
