"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"1","12","12_Control_p53_1_features_d.csv 12_Control_p53_1_features_h.csv",12298,257847,0.0476949508817244,21,362,0.0580110497237569
"2","12","12_Control_p53_10_features_d.csv 12_Control_p53_10_features_h.csv",20809,436166,0.0477088998225446,25,599,0.0417362270450751
"3","12","12_Control_p53_2_features_d.csv 12_Control_p53_2_features_h.csv",11501,253759,0.0453225304324182,15,312,0.0480769230769231
"4","12","12_Control_p53_3_features_d.csv 12_Control_p53_3_features_h.csv",14154,253499,0.055834539781222,18,335,0.0537313432835821
"5","12","12_Control_p53_4_features_d.csv 12_Control_p53_4_features_h.csv",19214,353595,0.0543390036623821,23,510,0.0450980392156863
"6","12","12_Control_p53_5_features_d.csv 12_Control_p53_5_features_h.csv",1342,302639,0.0044343260452222,2,374,0.0053475935828877
"7","12","12_Control_p53_6_features_d.csv 12_Control_p53_6_features_h.csv",12735,402682,0.0316254513487069,17,476,0.0357142857142857
"8","12","12_Control_p53_7_features_d.csv 12_Control_p53_7_features_h.csv",3604,569870,0.0063242493902118,5,696,0.00718390804597701
"9","12","12_Control_p53_8_features_d.csv 12_Control_p53_8_features_h.csv",14355,330656,0.0434136988289945,23,446,0.0515695067264574
"10","12","12_Control_p53_9_features_d.csv 12_Control_p53_9_features_h.csv",11885,376227,0.0315899709483902,16,493,0.0324543610547667
"11","12","12_Reactive_p53_1_features_d.csv 12_Reactive_p53_1_features_h.csv",132882,253582,0.524019843679756,187,415,0.450602409638554
"12","12","12_Reactive_p53_10_features_d.csv 12_Reactive_p53_10_features_h.csv",24529,399580,0.0613869563041193,31,644,0.0481366459627329
"13","12","12_Reactive_p53_2_features_d.csv 12_Reactive_p53_2_features_h.csv",67088,231907,0.289288378531049,88,372,0.236559139784946
"14","12","12_Reactive_p53_3_features_d.csv 12_Reactive_p53_3_features_h.csv",51537,236307,0.218093412383044,42,397,0.105793450881612
"15","12","12_Reactive_p53_4_features_d.csv 12_Reactive_p53_4_features_h.csv",23947,240034,0.099765033286951,34,396,0.0858585858585859
"16","12","12_Reactive_p53_5_features_d.csv 12_Reactive_p53_5_features_h.csv",15505,180737,0.0857876361785357,16,322,0.0496894409937888
"17","12","12_Reactive_p53_6_features_d.csv 12_Reactive_p53_6_features_h.csv",77510,249062,0.311207651106953,104,425,0.244705882352941
"18","12","12_Reactive_p53_7_features_d.csv 12_Reactive_p53_7_features_h.csv",71658,422587,0.169569816392837,95,739,0.128552097428958
"19","12","12_Reactive_p53_8_features_d.csv 12_Reactive_p53_8_features_h.csv",108927,568570,0.191580632112141,142,885,0.16045197740113
"20","12","12_Reactive_p53_9_features_d.csv 12_Reactive_p53_9_features_h.csv",21767,254251,0.0856122493126871,26,405,0.0641975308641975
"21","12","12_Recurrent_p53_1_features_d.csv 12_Recurrent_p53_1_features_h.csv",554640,315104,1.76018076571545,537,302,1.77814569536424
"22","12","12_Recurrent_p53_10_features_d.csv 12_Recurrent_p53_10_features_h.csv",1277238,862227,1.48132452358834,977,762,1.28215223097113
"23","12","12_Recurrent_p53_2_features_d.csv 12_Recurrent_p53_2_features_h.csv",989897,559682,1.76867757047752,657,414,1.58695652173913
"24","12","12_Recurrent_p53_3_features_d.csv 12_Recurrent_p53_3_features_h.csv",871421,565251,1.54165317708416,916,586,1.56313993174061
"25","12","12_Recurrent_p53_4_features_d.csv 12_Recurrent_p53_4_features_h.csv",1902721,991251,1.91951483529399,1211,784,1.54464285714286
